NAME, WKID
Beijing_1954_3_Degree_GK_CM_126E,2439
Beijing_1954_3_Degree_GK_CM_129E,2440
Beijing_1954_3_Degree_GK_CM_132E,2441
Beijing_1954_3_Degree_GK_CM_135E,2442
Beijing_1954_3_Degree_GK_CM_75E,2422
Beijing_1954_3_Degree_GK_CM_78E,2423
Beijing_1954_3_Degree_GK_CM_81E,2424
Beijing_1954_3_Degree_GK_CM_84E,2425
Beijing_1954_3_Degree_GK_CM_87E,2426
Beijing_1954_3_Degree_GK_CM_90E,2427
Beijing_1954_3_Degree_GK_CM_93E,2428
Beijing_1954_3_Degree_GK_CM_96E,2429
Beijing_1954_3_Degree_GK_CM_99E,2430
Beijing_1954_3_Degree_GK_Zone_25,2401
Beijing_1954_3_Degree_GK_Zone_26,2402
Beijing_1954_3_Degree_GK_Zone_27,2403
Beijing_1954_3_Degree_GK_Zone_28,2404
Beijing_1954_3_Degree_GK_Zone_29,2405
Beijing_1954_3_Degree_GK_Zone_30,2406
Beijing_1954_3_Degree_GK_Zone_31,2407
Beijing_1954_3_Degree_GK_Zone_32,2408
Beijing_1954_3_Degree_GK_Zone_33,2409
Beijing_1954_3_Degree_GK_Zone_34,2410
Beijing_1954_3_Degree_GK_Zone_35,2411
Beijing_1954_3_Degree_GK_Zone_36,2412
Beijing_1954_3_Degree_GK_Zone_37,2413
Beijing_1954_3_Degree_GK_Zone_38,2414
Beijing_1954_3_Degree_GK_Zone_39,2415
Beijing_1954_3_Degree_GK_Zone_40,2416
Beijing_1954_3_Degree_GK_Zone_41,2417
Beijing_1954_3_Degree_GK_Zone_42,2418
Beijing_1954_3_Degree_GK_Zone_43,2419
Beijing_1954_3_Degree_GK_Zone_44,2420
Beijing_1954_3_Degree_GK_Zone_45,2421
Beijing_1954_Gauss_Kruger_CM_105E,21458
Beijing_1954_Gauss_Kruger_CM_111E,21459
Beijing_1954_Gauss_Kruger_CM_117E,21460
Beijing_1954_Gauss_Kruger_CM_123E,21461
Beijing_1954_Gauss_Kruger_CM_129E,21462
Beijing_1954_Gauss_Kruger_CM_135E,21463
Beijing_1954_Gauss_Kruger_CM_75E,21453
Beijing_1954_Gauss_Kruger_CM_81E,21454
Beijing_1954_Gauss_Kruger_CM_87E,21455
Beijing_1954_Gauss_Kruger_CM_93E,21456
Beijing_1954_Gauss_Kruger_CM_99E,21457
Beijing_1954_GK_Zone_13,21413
Beijing_1954_GK_Zone_13N,21473
Beijing_1954_GK_Zone_14,21414
Beijing_1954_GK_Zone_14N,21474
Beijing_1954_GK_Zone_15,21415
Beijing_1954_GK_Zone_15N,21475
Beijing_1954_GK_Zone_16,21416
Beijing_1954_GK_Zone_16N,21476
Beijing_1954_GK_Zone_17,21417
Beijing_1954_GK_Zone_17N,21477
Beijing_1954_GK_Zone_18,21418
Beijing_1954_GK_Zone_18N,21478
Beijing_1954_GK_Zone_19,21419
Beijing_1954_GK_Zone_19N,21479
Beijing_1954_GK_Zone_20,21420
Beijing_1954_GK_Zone_20N,21480
Beijing_1954_GK_Zone_21,21421
Beijing_1954_GK_Zone_21N,21481
Beijing_1954_GK_Zone_22,21422
Beijing_1954_GK_Zone_22N,21482
Beijing_1954_GK_Zone_23,21423
Beijing_1954_GK_Zone_23N,21483
Belge_Lambert_1950,21500
Belge_Lambert_1972,31370
Belge_Lambert_1972_bad_FE_FN,102499
Belge_Lambert_2005,3447
Belge_Lambert_2008,3812
Berghaus_Star_AAG,102299
Bermuda_1957_UTM_Zone_20N,3769
Bermuda_2000_National_Grid,3770
Bern_1898_Bern_LV03C,21780
BGS2005_CCS2005,7801
BGS2005_UTM_zone_34N,7803
BGS2005_UTM_zone_34N_(N-E),7799
BGS2005_UTM_zone_35N,7804
BGS2005_UTM_zone_35N_(N-E),7800
BGS2005_UTM_zone_36N,7805
BH_ETRS89_TM,10329
Bissau_UTM_Zone_28N,2095
Bogota_Ciudad_Bogota,102232
Bogota_UTM_Zone_18N,21818
British_National_Grid,27700
BUTM2010,102954
Cadastre_1997_UTM_Zone_38S,5879
California_SRS_Epoch_2017.50_(NAD83)_StatePlane_CA_I_US_Feet,103891
California_SRS_Epoch_2017.50_(NAD83)_StatePlane_CA_II_US_Feet,103892
California_SRS_Epoch_2017.50_(NAD83)_StatePlane_CA_III_US_Feet,103893
California_SRS_Epoch_2017.50_(NAD83)_StatePlane_CA_IV_US_Feet,103894
California_SRS_Epoch_2017.50_(NAD83)_StatePlane_CA_V_US_Feet,103895
California_SRS_Epoch_2017.50_(NAD83)_StatePlane_CA_VI_US_Feet,103896
Camacupa_TM_11_30_SE,22091
Camacupa_TM_12_SE,22092
Camacupa_UTM_Zone_32S,22032
Camacupa_UTM_Zone_33S,22033
Campo_Inchauspe_UTM_19S,2315
Campo_Inchauspe_UTM_20S,2316
Canada_Albers_Equal_Area_Conic,102001
Canada_Lambert_Conformal_Conic,102002
Cape_Lo15,102470
Cape_Lo17,102471
Cape_Lo19,102472
Cape_Lo21,102473
Cape_Lo23,102474
Cape_Lo25,102475
Cape_Lo27,102476
Cape_Lo29,102477
Cape_Lo31,102478
Cape_Lo33,102479
Cape_UTM_Zone_34S,22234
Cape_UTM_Zone_35S,22235
Carthage_TM_11_NE,2088
Carthage_UTM_Zone_32N,22332
Cassini_Bangladesh_Zone_01_Dinajpur,102934
Cassini_Bangladesh_Zone_02_Rangpur,102935
Cassini_Bangladesh_Zone_03_Rajshahi,102936
Cassini_Bangladesh_Zone_04_Bogura,102937
Cassini_Bangladesh_Zone_05_Pabna,102938
Cassini_Bangladesh_Zone_06_Mymensingh,102939
Cassini_Bangladesh_Zone_07_Dhaka,102940
Cassini_Bangladesh_Zone_08_Faridpur,102941
Cassini_Bangladesh_Zone_09_Sylhet,102942
Cassini_Bangladesh_Zone_10_Kushtia,102943
Cassini_Bangladesh_Zone_11_Joshore,102944
Cassini_Bangladesh_Zone_12_Khulna,102945
Cassini_Bangladesh_Zone_13_Barishal,102946
Cassini_Bangladesh_Zone_14_Cumilla,102947
Cassini_Bangladesh_Zone_15_Noakhali,102948
Cassini_Bangladesh_Zone_16_Chottogram,102949
Cassini_Bangladesh_Zone_17_CHT,102950
Cayman_Islands_National_Grid_2011,6391
CGCS2000_3_Degree_GK_CM_102E,4543
CGCS2000_3_Degree_GK_CM_105E,4544
CGCS2000_3_Degree_GK_CM_108E,4545
CGCS2000_3_Degree_GK_CM_111E,4546
CGCS2000_3_Degree_GK_CM_114E,4547
CGCS2000_3_Degree_GK_CM_117E,4548
CGCS2000_3_Degree_GK_CM_120E,4549
CGCS2000_3_Degree_GK_CM_123E,4550
CGCS2000_3_Degree_GK_CM_126E,4551
CGCS2000_3_Degree_GK_CM_129E,4552
CGCS2000_3_Degree_GK_CM_132E,4553
CGCS2000_3_Degree_GK_CM_135E,4554
CGCS2000_3_Degree_GK_CM_75E,4534
CGCS2000_3_Degree_GK_CM_78E,4535
CGCS2000_3_Degree_GK_CM_81E,4536
CGCS2000_3_Degree_GK_CM_84E,4537
CGCS2000_3_Degree_GK_CM_87E,4538
CGCS2000_3_Degree_GK_CM_90E,4539
CGCS2000_3_Degree_GK_CM_93E,4540
CGCS2000_3_Degree_GK_CM_96E,4541
CGCS2000_3_Degree_GK_CM_99E,4542
CGCS2000_3_Degree_GK_Zone_25,4513
CGCS2000_3_Degree_GK_Zone_26,4514
CGCS2000_3_Degree_GK_Zone_27,4515
CGCS2000_3_Degree_GK_Zone_28,4516
CGCS2000_3_Degree_GK_Zone_29,4517
CGCS2000_3_Degree_GK_Zone_30,4518
CGCS2000_3_Degree_GK_Zone_31,4519
CGCS2000_3_Degree_GK_Zone_32,4520
CGCS2000_3_Degree_GK_Zone_33,4521
CGCS2000_3_Degree_GK_Zone_34,4522
CGCS2000_3_Degree_GK_Zone_35,4523
CGCS2000_3_Degree_GK_Zone_36,4524
CGCS2000_3_Degree_GK_Zone_37,4525
CGCS2000_3_Degree_GK_Zone_38,4526
CGCS2000_3_Degree_GK_Zone_39,4527
CGCS2000_3_Degree_GK_Zone_40,4528
CGCS2000_3_Degree_GK_Zone_41,4529
CGCS2000_3_Degree_GK_Zone_42,4530
CGCS2000_3_Degree_GK_Zone_43,4531
CGCS2000_3_Degree_GK_Zone_44,4532
CGCS2000_3_Degree_GK_Zone_45,4533
CGCS2000_GK_CM_105E,4507
CGCS2000_GK_CM_111E,4508
CGCS2000_GK_CM_117E,4509
CGCS2000_GK_CM_123E,4510
CGCS2000_GK_CM_129E,4511
CGCS2000_GK_CM_135E,4512
CGCS2000_GK_CM_75E,4502
CGCS2000_GK_CM_81E,4503
CGCS2000_GK_CM_87E,4504
CGCS2000_GK_CM_93E,4505
CGCS2000_GK_CM_99E,4506
CGCS2000_GK_Zone_13,4491
CGCS2000_GK_Zone_14,4492
CGCS2000_GK_Zone_15,4493
CGCS2000_GK_Zone_16,4494
CGCS2000_GK_Zone_17,4495
CGCS2000_GK_Zone_18,4496
CGCS2000_GK_Zone_19,4497
CGCS2000_GK_Zone_20,4498
CGCS2000_GK_Zone_21,4499
CGCS2000_GK_Zone_22,4500
CGCS2000_GK_Zone_23,4501
CGRS_1993_Cyprus_Local_Transverse_Mercator,6312
CGRS_1993_LTM,102319
CH1903+_LV95,2056
CH1903_LV03,21781
CH1903_LV03C-G,21782
Chatham_Island_1971_Map_Grid,5518
Chatham_Islands_1979_Map_Grid,5519
Chos_Malal_1914_Argentina_2,2081
Chua_UTM_Zone_23S,4071
CNH22_Grid,10194
COB_NAD83_2007,102041
Colombia_Bogota_Zone,21897
Colombia_East_Central_Zone,21898
Colombia_East_Zone,21899
Colombia_West_West_Zone,102231
Colombia_West_Zone,21896
Combani_1950_UTM_38S,2980
Conakry_1905_UTM_Zone_28N,31528
Conakry_1905_UTM_Zone_29N,31529
Corrego_Alegre_1961_UTM_Zone_21S,5536
Corrego_Alegre_1961_UTM_Zone_22S,5537
Corrego_Alegre_1961_UTM_Zone_23S,5538
Corrego_Alegre_1961_UTM_Zone_24S,5539
Corrego_Alegre_UTM_Zone_21S,22521
Corrego_Alegre_UTM_Zone_22S,22522
Corrego_Alegre_UTM_Zone_23S,22523
Corrego_Alegre_UTM_Zone_24S,22524
Corrego_Alegre_UTM_Zone_25S,22525
COV23_Grid,10471
CR-SIRGAS_CRTM05,8908
CR-SIRGAS_UTM_Zone_16N,8909
CR-SIRGAS_UTM_Zone_17N,8910
CRTM05,5367
CSG_1967_UTM_22N,2971
CSG_1967_UTM_Zone_21N,3312
CWS13_Grid,10199
D48_Slovenia_TM,102060
Dabola_1981_UTM_Zone_28N,3461
Dabola_1981_UTM_Zone_29N,3462
Datum_73_Hayford_Gauss_IGeoE,102160
Datum_73_Hayford_Gauss_IPCC,102161
Datum_73_Modified_Portuguese_Grid,27493
Datum_73_UTM_Zone_29N,27429
DB_REF_3-Degree_GK_Zone_2_(E-N),5682
DB_REF_3-Degree_GK_Zone_3_(E-N),5683
DB_REF_3-Degree_GK_Zone_4_(E-N),5684
DB_REF_3-Degree_GK_Zone_5_(E-N),5685
Deir_ez_Zor_Levant_Stereographic,22780
Deir_ez_Zor_Levant_Zone,22700
Deir_ez_Zor_Syria_Lambert,22770
DGN_1995_Indonesia_TM-3_Zone_46.2,23830
DGN_1995_Indonesia_TM-3_Zone_47.1,23831
DGN_1995_Indonesia_TM-3_Zone_47.2,23832
DGN_1995_Indonesia_TM-3_Zone_48.1,23833
DGN_1995_Indonesia_TM-3_Zone_48.2,23834
DGN_1995_Indonesia_TM-3_Zone_49.1,23835
DGN_1995_Indonesia_TM-3_Zone_49.2,23836
DGN_1995_Indonesia_TM-3_Zone_50.1,23837
DGN_1995_Indonesia_TM-3_Zone_50.2,23838
DGN_1995_Indonesia_TM-3_Zone_51.1,23839
DGN_1995_Indonesia_TM-3_Zone_51.2,23840
DGN_1995_Indonesia_TM-3_Zone_52.1,23841
DGN_1995_Indonesia_TM-3_Zone_52.2,23842
DGN_1995_Indonesia_TM-3_Zone_53.1,23843
DGN_1995_Indonesia_TM-3_Zone_53.2,23844
DGN_1995_Indonesia_TM-3_Zone_54.1,23845
DGN_1995_UTM_Zone_46N,23866
DGN_1995_UTM_Zone_47N,23867
DGN_1995_UTM_Zone_47S,23877
DGN_1995_UTM_Zone_48N,23868
DGN_1995_UTM_Zone_48S,23878
DGN_1995_UTM_Zone_49N,23869
DGN_1995_UTM_Zone_49S,23879
DGN_1995_UTM_Zone_50N,23870
DGN_1995_UTM_Zone_50S,23880
DGN_1995_UTM_Zone_51N,23871
DGN_1995_UTM_Zone_51S,23881
DGN_1995_UTM_Zone_52N,23872
DGN_1995_UTM_Zone_52S,23882
DGN_1995_UTM_Zone_53S,23883
DGN_1995_UTM_Zone_54S,23884
DHDN_3_Degree_Gauss_Zone_1,5520
DHDN_3_Degree_Gauss_Zone_2,31466
DHDN_3_Degree_Gauss_Zone_3,31467
DHDN_3_Degree_Gauss_Zone_4,31468
DHDN_3_Degree_Gauss_Zone_5,31469
DHDN_3_Degree_GK_Zone_1_E-N,5680
DHDN_3_Degree_GK_Zone_2_E-N,5676
DHDN_3_Degree_GK_Zone_3_E-N,5677
DHDN_3_Degree_GK_Zone_4_E-N,5678
DHDN_3_Degree_GK_Zone_5_E-N,5679
DHDN_Soldner_Berlin,3068
DIBA15_Grid,10207
Dominica_1945_British_West_Indies_Grid,2002
DoPw22_Grid,10183
Douala_1948_AEF_West,3119
Douala_UTM_Zone_32N,22832
DRUKREF_03_Bhutan_National_Grid,5266
DRUKREF_03_Bumthang_TM,5292
DRUKREF_03_Chhukha_TM,5293
DRUKREF_03_Dagana_TM,5294
DRUKREF_03_Gasa_TM,5295
DRUKREF_03_Ha_TM,5296
DRUKREF_03_Lhuentse_TM,5297
DRUKREF_03_Mongar_TM,5298
DRUKREF_03_Paro_TM,5299
DRUKREF_03_Pemagatshel_TM,5300
DRUKREF_03_Punakha_TM,5301
DRUKREF_03_Samdrup_Jongkhar_TM,5302
DRUKREF_03_Samtse_TM,5303
DRUKREF_03_Sarpang_TM,5304
DRUKREF_03_Thimphu_TM,5305
DRUKREF_03_Trashigang_TM,5306
DRUKREF_03_Trongsa_TM,5307
DRUKREF_03_Tsirang_TM,5308
DRUKREF_03_Wangdue_Phodrang_TM,5309
DRUKREF_03_Yangtse_TM,5310
DRUKREF_03_Zhemgang_TM,5311
EBBWV14_Grid,9943
ECML14_Grid,10626
ECML14_NB_Grid,9761
ED_1950_3_Degree_GK_Zone_10,2207
ED_1950_3_Degree_GK_Zone_11,2208
ED_1950_3_Degree_GK_Zone_12,2209
ED_1950_3_Degree_GK_Zone_13,2210
ED_1950_3_Degree_GK_Zone_14,2211
ED_1950_3_Degree_GK_Zone_15,2212
ED_1950_3_Degree_GK_Zone_9,2206
ED_1950_ED77_UTM_Zone_38N,2058
ED_1950_ED77_UTM_Zone_39N,2059
ED_1950_ED77_UTM_Zone_40N,2060
ED_1950_ED77_UTM_Zone_41N,2061
ED_1950_France_EuroLambert,2192
ED_1950_Iraq_National_Grid,3893
ED_1950_Jordan_TM,3066
ED_1950_Southern_Permian_Basin_Lambert,5643
ED_1950_TM_0_N,23090
ED_1950_TM27,2319
ED_1950_TM30,2320
ED_1950_TM33,2321
ED_1950_TM36,2322
ED_1950_TM39,2323
ED_1950_TM42,2324
ED_1950_TM45,2325
ED_1950_TM_5_NE,23095
ED_1950_TM_6_NE,5627
ED_1950_Turkey_10,102551
ED_1950_Turkey_11,102552
ED_1950_Turkey_12,102553
ED_1950_Turkey_13,102554
ED_1950_Turkey_14,102555
ED_1950_Turkey_15,102556
ED_1950_Turkey_9,102550
ED_1950_UTM_Zone_28N,23028
ED_1950_UTM_Zone_29N,23029
ED_1950_UTM_Zone_30N,23030
ED_1950_UTM_Zone_31N,23031
ED_1950_UTM_Zone_32N,23032
ED_1950_UTM_Zone_33N,23033
ED_1950_UTM_Zone_34N,23034
ED_1950_UTM_Zone_35N,23035
ED_1950_UTM_Zone_36N,23036
ED_1950_UTM_Zone_37N,23037
ED_1950_UTM_Zone_38N,23038
Egypt_Blue_Belt,22991
Egypt_Extended_Purple_Belt,22994
Egypt_Gulf_of_Suez_S-650_TL_Red_Belt,3355
Egypt_Purple_Belt,22993
Egypt_Red_Belt,22992
ELD_1979_Libya_10,2073
ELD_1979_Libya_11,2074
ELD_1979_Libya_12,2075
ELD_1979_Libya_13,2076
ELD_1979_Libya_5,2068
ELD_1979_Libya_6,2069
ELD_1979_Libya_7,2070
ELD_1979_Libya_8,2071
ELD_1979_Libya_9,2072
ELD_1979_TM_12_NE,2087
ELD_1979_UTM_Zone_32N,2077
ELD_1979_UTM_Zone_33N,2078
ELD_1979_UTM_Zone_34N,2079
ELD_1979_UTM_Zone_35N,2080
EMEP_150_Kilometer_Grid,102069
EMEP_50_Kilometer_Grid,102068
EOS21_Grid,9741
Estonia_1997_Estonia_National_Grid,3301
Estonian_Coordinate_System_of_1992,3300
ETRF2000-PL_CS2000_15_Zone_5,2176
ETRF2000-PL_CS2000_18_Zone_6,2177
ETRF2000-PL_CS2000_21_Zone_7,2178
ETRF2000-PL_CS2000_24_Zone_8,2179
ETRF2000-PL_CS92,2180
ETRS_1989_Albania_2010,6870
ETRS_1989_Albania_LCC_2010,6962
ETRS_1989_Austria_Lambert,3416
ETRS_1989_DKTM1,4093
ETRS_1989_DKTM2,4094
ETRS_1989_DKTM3,4095
ETRS_1989_DKTM4,4096
ETRS_1989_EPSG_Arctic_zone_2-22,6069
ETRS_1989_EPSG_Arctic_zone_3-11,6070
ETRS_1989_EPSG_Arctic_zone_4-26,6071
ETRS_1989_EPSG_Arctic_zone_4-28,6072
ETRS_1989_EPSG_Arctic_zone_5-11,6073
ETRS_1989_EPSG_Arctic_zone_5-13,6074
ETRS_1989_EPSG_Arctic_zone_5-47,6125
ETRS_1989_ETRS-GK19FIN,3126
ETRS_1989_ETRS-GK20FIN,3127
ETRS_1989_ETRS-GK21FIN,3128
ETRS_1989_ETRS-GK22FIN,3129
ETRS_1989_ETRS-GK23FIN,3130
ETRS_1989_ETRS-GK24FIN,3131
ETRS_1989_ETRS-GK25FIN,3132
ETRS_1989_ETRS-GK26FIN,3133
ETRS_1989_ETRS-GK27FIN,3134
ETRS_1989_ETRS-GK28FIN,3135
ETRS_1989_ETRS-GK29FIN,3136
ETRS_1989_ETRS-GK30FIN,3137
ETRS_1989_ETRS-GK31FIN,3138
ETRS_1989_ETRS-TM28,3040
ETRS_1989_ETRS-TM29,3041
ETRS_1989_ETRS-TM30,3042
ETRS_1989_ETRS-TM31,3043
ETRS_1989_ETRS-TM32,3044
ETRS_1989_ETRS-TM33,3045
ETRS_1989_ETRS-TM34,3046
ETRS_1989_ETRS-TM35,3047
ETRS_1989_ETRS-TM36,3048
ETRS_1989_ETRS-TM37,3049
ETRS_1989_FAROE_TM,5316
ETRS_1989_GK_CM_9E,8395
ETRS_1989_GK19FIN,3873
ETRS_1989_GK20FIN,3874
ETRS_1989_GK21FIN,3875
ETRS_1989_GK22FIN,3876
ETRS_1989_GK23FIN,3877
ETRS_1989_GK24FIN,3878
ETRS_1989_GK25FIN,3879
ETRS_1989_GK26FIN,3880
ETRS_1989_GK27FIN,3881
ETRS_1989_GK28FIN,3882
ETRS_1989_GK29FIN,3883
ETRS_1989_GK30FIN,3884
ETRS_1989_GK31FIN,3885
ETRS_1989_Guernsey_Grid,3108
ETRS_1989_Jersey_Transverse_Mercator,3109
ETRS_1989_Kosovo_Grid,102157
ETRS_1989_Kp2000_Bornholm,2198
ETRS_1989_Kp2000_Jutland,2196
ETRS_1989_Kp2000_Zealand,2197
ETRS_1989_LAEA,3035
ETRS_1989_LCC,3034
ETRS_1989_LCC_Germany_E-N,5243
ETRS_1989_LCC_Germany_N-E,4839
ETRS_1989_NTM_Zone_10,5110
ETRS_1989_NTM_Zone_11,5111
ETRS_1989_NTM_Zone_12,5112
ETRS_1989_NTM_Zone_13,5113
ETRS_1989_NTM_Zone_14,5114
ETRS_1989_NTM_Zone_15,5115
ETRS_1989_NTM_Zone_16,5116
ETRS_1989_NTM_Zone_17,5117
ETRS_1989_NTM_Zone_18,5118
ETRS_1989_NTM_Zone_19,5119
ETRS_1989_NTM_Zone_20,5120
ETRS_1989_NTM_Zone_21,5121
ETRS_1989_NTM_Zone_22,5122
ETRS_1989_NTM_Zone_23,5123
ETRS_1989_NTM_Zone_24,5124
ETRS_1989_NTM_Zone_25,5125
ETRS_1989_NTM_Zone_26,5126
ETRS_1989_NTM_Zone_27,5127
ETRS_1989_NTM_Zone_28,5128
ETRS_1989_NTM_Zone_29,5129
ETRS_1989_NTM_Zone_30,5130
ETRS_1989_NTM_Zone_5,5105
ETRS_1989_NTM_Zone_6,5106
ETRS_1989_NTM_Zone_7,5107
ETRS_1989_NTM_Zone_8,5108
ETRS_1989_NTM_Zone_9,5109
ETRS_1989_Portugal_TM06,3763
ETRS_1989_Slovenia_TM,102109
ETRS_1989_TM_30_NE,2213
ETRS_1989_TM35FIN_NE,5048
ETRS_1989_TM_Baltic_1993,25884
ETRS_1989_UTM_Zone_28N,25828
ETRS_1989_UTM_Zone_29N,25829
ETRS_1989_UTM_Zone_30N,25830
ETRS_1989_UTM_Zone_31N,25831
ETRS_1989_UTM_Zone_31N_N-zE,5651
ETRS_1989_UTM_Zone_31N_zE-N,5649
ETRS_1989_UTM_Zone_32N,25832
ETRS_1989_UTM_Zone_32N_7stellen,102328
